Area,Rooms,Floor,YearBuilt,District,NearMetro,BuildingType,Price
82,3,4,2015,Mladost,1,Brick,185000
65,2,6,2008,Lyulin,0,Panel,118000
97,3,3,2018,Lozenets,1,Brick,265000
74,2,5,2012,Druzhba,1,Panel,142000
90,3,2,2017,ManastirskiLivadi,0,Brick,198000
58,2,7,2005,Nadezhda,0,Panel,99000
110,4,3,2019,Izgrev,1,Brick,320000
79,3,8,2010,Mladost,1,Brick,176000
68,2,1,2001,Lyulin,0,Panel,105000
88,3,6,2016,Druzhba,1,Brick,188000
54,1,4,2014,StudentskiGrad,0,Brick,109000
101,4,5,2020,Lozenets,1,Brick,338000
72,2,2,2011,OvchaKupel,1,Brick,149000
95,3,4,2018,KrastovaVada,1,Brick,245000
60,2,3,2007,Nadezhda,0,Panel,102000
115,4,7,2021,Izgrev,1,Brick,355000
84,3,5,2013,Mladost,1,Brick,191000
76,2,6,2009,Druzhba,1,Panel,146000
67,2,2,2004,Lyulin,0,Panel,108000
99,3,3,2017,Lozenets,1,Brick,279000
56,1,5,2010,StudentskiGrad,0,Brick,112000
92,3,4,2018,KrastovaVada,1,Brick,236000
70,2,8,2006,OvchaKupel,1,Panel,138000
108,4,2,2019,ManastirskiLivadi,0,Brick,272000
63,2,1,2003,Nadezhda,0,Panel,98000
87,3,5,2015,Mladost,1,Brick,194000
75,2,4,2012,Druzhba,1,Brick,158000
120,4,6,2022,Lozenets,1,Brick,389000
69,2,7,2008,Lyulin,0,Panel,111000
98,3,3,2016,KrastovaVada,1,Brick,248000
